stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\I2P1_Final_project-master\FINAL\allegro5.cfg r
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38961] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38963] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.38964] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.38966] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.38968] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.38970] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.38971] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.38992] added dtor for bitmap 00000000027b5cc0, func 00007ff8bea31bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.39743] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.39750] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   1.40114] removed dtor for bitmap 00000000027b5cc0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.41188] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.41198] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.41469] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.41476] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.41675] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.41680] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.67622] removed dtor for ttf_font 00000000026e5ac0
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.67636] removed dtor for sample 00000000026e5e50
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.67856] removed dtor for sample_instance 00000000026fec90
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.67862] removed dtor for bitmap 00000000027043a0
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.67984] removed dtor for bitmap 00000000027008a0
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.72937] removed dtor for queue 00000000026fd550
d3d      I         d3d_disp.cpp:915  d3d_destroy_display              [  23.72948] destroying display 0000000000eab6b0 (current 0000000000000000)
bitmap   D        bitmap_type.c:308  _al_convert_to_memory_bitmap     [  23.73208] converting display bitmap 0000000002710e70 to memory bitmap
dtor     D               dtor.c:196  _al_register_destructor          [  23.73214] added dtor for bitmap 00000000027b5e20, func 00007ff8bea31bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  23.73217] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  23.73218] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [  23.73282] removed dtor for bitmap 00000000027b5e20
d3d      D         d3d_disp.cpp:899  d3d_destroy_display_internals    [  23.73340] waiting for display 0000000000eab6b0's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [  23.74112] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1562 d3d_display_thread_proc          [  23.76068] d3d display thread exits
